
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 3.68441e-06, 1.32e-06, 1.32e-11, 5.148e-07, 1.81e-06, 3.96e-08, 1.545e-06, 2.50625e-08, 2e-06, 9.025e-06, 1.62795e-05, 94.1064
, 1.7332e-06, 4.6e-07, 4.6e-12, 1.794e-07, 1.08e-06, 1.38e-08, 7.35e-07, 2.16875e-08, 2.04e-06, 5.795e-06, 1.03249e-05, 96.2207
, 2.48601e-06, 8e-07, 8e-12, 3.12e-07, 1.35e-06, 2.4e-08, 1.695e-06, 2.43125e-08, 2e-06, 8.005e-06, 1.42103e-05, 94.8358
, 1.81561e-06, 6.8e-07, 6.8e-12, 2.652e-07, 8.5e-07, 2.04e-08, 6.45e-07, 2.5e-08, 2e-06, 6.58e-06, 1.10656e-05, 95.9551
, 2.90601e-06, 1.3e-06, 1.3e-11, 5.07e-07, 1.06e-06, 3.9e-08, 1.515e-06, 2.5e-08, 2e-06, 9.37e-06, 1.5816e-05, 94.2693
, 1.2196e-06, 3.8e-07, 3.8e-12, 1.482e-07, 6.8e-07, 1.14e-08, 5.85e-07, 2.5e-08, 2e-06, 7e-06, 1.08296e-05, 96.0397
, 2.44961e-06, 8.8e-07, 8.8e-12, 3.432e-07, 1.2e-06, 2.64e-08, 7.2e-07, 2.5e-08, 2e-06, 7.04e-06, 1.22346e-05, 95.5375
, 7.00802e-07, 2.4e-07, 2.4e-12, 9.36e-08, 3.6e-07, 7.2e-09, 3.75e-07, 2.41875e-08, 2e-06, 5.365e-06, 8.46499e-06, 96.8908
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 1.2044e-06, 3.2e-07, 3.2e-12, 1.248e-07, 7.5e-07, 9.6e-09, 2.85e-07, 5.86875e-08, 4.94e-06, 1.139e-05, 1.78781e-05, 93.5467


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 8.27443e-06, 2.82e-06, 2.82e-11, 1.0998e-06, 4.27e-06, 8.46e-08, 3.21e-06, 5.01875e-08, 4e-06, 2.0735e-05, 3.62696e-05, 87.3424
