
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.000107301, 7.4e-05, 7.4e-10, 2.886e-05, 2.22e-06, 2.22e-06, 1.59e-06, 2.55625e-08, 2e-06, 9.775e-06, 0.000120691, 63.7411
, 3.07802e-05, 2.1e-05, 2.1e-10, 8.19e-06, 9.6e-07, 6.3e-07, 5.4e-07, 2.18438e-08, 2.01e-06, 5.76e-06, 3.91121e-05, 86.4209
, 5.83104e-05, 4e-05, 4e-10, 1.56e-05, 1.51e-06, 1.2e-06, 1.65e-06, 2.575e-08, 2e-06, 9.26e-06, 7.12461e-05, 76.6559
, 5.35204e-05, 3.7e-05, 3.7e-10, 1.443e-05, 9.8e-07, 1.11e-06, 8.4e-07, 2.5e-08, 2e-06, 7.47e-06, 6.38554e-05, 78.7993
, 8.77906e-05, 6.1e-05, 6.1e-10, 2.379e-05, 1.17e-06, 1.83e-06, 1.44e-06, 2.58125e-08, 2e-06, 9.345e-06, 0.000100601, 68.7029
, 2.77802e-05, 1.9e-05, 1.9e-10, 7.41e-06, 8e-07, 5.7e-07, 5.25e-07, 2.5e-08, 2e-06, 6.73e-06, 3.70602e-05, 87.0851
, 6.92205e-05, 4.8e-05, 4.8e-10, 1.872e-05, 1.06e-06, 1.44e-06, 7.95e-07, 2.5e-08, 2e-06, 7.34e-06, 7.93805e-05, 74.3642
, 1.30501e-05, 9e-06, 9e-11, 3.51e-06, 2.7e-07, 2.7e-07, 2.25e-07, 2.52187e-08, 1.99e-06, 4.925e-06, 2.02153e-05, 92.7344
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.49602e-05, 1.7e-05, 1.7e-10, 6.63e-06, 8.2e-07, 5.1e-07, 3e-07, 5.86875e-08, 4.94e-06, 1.172e-05, 4.19789e-05, 85.5014


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.000205901, 0.000142, 1.42e-09, 5.538e-05, 4.26e-06, 4.26e-06, 3.27e-06, 5.05e-08, 4e-06, 1.983e-05, 0.000233052, 41.9121
, 5.41204e-05, 3.7e-05, 3.7e-10, 1.443e-05, 1.58e-06, 1.11e-06, 1.185e-06, 4.375e-08, 4e-06, 1.124e-05, 7.05891e-05, 76.844
, 0.000115031, 7.9e-05, 7.9e-10, 3.081e-05, 2.85e-06, 2.37e-06, 3.195e-06, 4.8875e-08, 4e-06, 1.715e-05, 0.000139425, 59.4377
, 9.71007e-05, 6.7e-05, 6.7e-10, 2.613e-05, 1.96e-06, 2.01e-06, 1.455e-06, 5e-08, 4e-06, 1.467e-05, 0.000117276, 64.5587
, 0.000171041, 0.000119, 1.19e-09, 4.641e-05, 2.06e-06, 3.57e-06, 3.06e-06, 4.93125e-08, 4e-06, 1.8145e-05, 0.000196296, 48.0732
