
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00440377, 0.0031, 3.1e-08, 0.001209, 1.74e-06, 9.3e-05, 1.56e-06, 2.4125e-08, 2e-06, 8.52e-06, 0.00441588, 6.98339e-06
, 0.00149195, 0.00105, 1.05e-08, 0.0004095, 9.4e-07, 3.15e-05, 6.45e-07, 2.33125e-08, 2.06e-06, 7.76e-06, 0.00150244, 0.367532
, 0.00205999, 0.00145, 1.45e-08, 0.0005655, 9.8e-07, 4.35e-05, 1.545e-06, 2.44375e-08, 2e-06, 8.175e-06, 0.00207174, 0.0439282
, 0.00220199, 0.00155, 1.55e-08, 0.0006045, 9.7e-07, 4.65e-05, 6.15e-07, 2.5e-08, 2e-06, 7.16e-06, 0.00221179, 0.0260494
, 0.00397684, 0.0028, 2.8e-08, 0.001092, 8.1e-07, 8.4e-05, 1.485e-06, 2.36875e-08, 2e-06, 9.015e-06, 0.00398936, 3.42951e-05
, 0.00142087, 0.001, 1e-08, 0.00039, 8.6e-07, 3e-05, 6e-07, 2.5e-08, 2e-06, 6.33e-06, 0.00142983, 0.48191
, 0.00269915, 0.0019, 1.9e-08, 0.000741, 1.13e-06, 5.7e-05, 6e-07, 2.5e-08, 2e-06, 6.9e-06, 0.00270867, 0.00407933
, 0.000710335, 0.0005, 5e-09, 0.000195, 3.3e-07, 1.5e-05, 3.75e-07, 2.45e-08, 2e-06, 5.63e-06, 0.000718365, 6.85313
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00127866, 0.0009, 9e-09, 0.000351, 6.5e-07, 2.7e-05, 3.15e-07, 5.86875e-08, 4.94e-06, 1.234e-05, 0.00129631, 0.793091


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.00894978, 0.0063, 6.3e-08, 0.002457, 3.72e-06, 0.000189, 2.985e-06, 4.9375e-08, 4e-06, 2.161e-05, 0.00897843, 2.82125e-13
, 0.00269948, 0.0019, 1.9e-08, 0.000741, 1.46e-06, 5.7e-05, 1.08e-06, 4.42188e-08, 4.03e-06, 1.2285e-05, 0.00271692, 0.00395575
, 0.00568291, 0.004, 4e-08, 0.00156, 2.87e-06, 0.00012, 2.895e-06, 5.075e-08, 4e-06, 1.813e-05, 0.00570799, 5.62599e-08
, 0.00376476, 0.00265, 2.65e-08, 0.0010335, 1.73e-06, 7.95e-05, 1.185e-06, 5e-08, 4e-06, 1.433e-05, 0.00378432, 7.37056e-05
, 0.00909028, 0.0064, 6.4e-08, 0.002496, 2.22e-06, 0.000192, 3.06e-06, 5.01875e-08, 4e-06, 1.6695e-05, 0.00911409, 1.7006e-13
, 0.00305468, 0.00215, 2.15e-08, 0.0008385, 1.66e-06, 6.45e-05, 1.185e-06, 5e-08, 4e-06, 1.445e-05, 0.00307437, 0.00104228
, 0.00582412, 0.0041, 4.1e-08, 0.001599, 2.08e-06, 0.000123, 1.32e-06, 5e-08, 4e-06, 1.377e-05, 0.00584326, 3.39614e-08
, 0.00170476, 0.0012, 1.2e-08, 0.000468, 7.5e-07, 3.6e-05, 6.3e-07, 4.9625e-08, 3.92e-06, 1.26e-05, 0.00172196, 0.162016
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 0.00120759, 0.00085, 8.5e-09, 0.0003315, 5.8e-07, 2.55e-05, 3e-07, 5.86875e-08, 4.94e-06, 1.199e-05, 0.00122488, 1.03534


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
